x,y,HT
-121.13762762260608,42.86743982465731,15.11482988
-121.13754145781914,42.867413711146675,31.279528560000003
-121.13768793229815,42.86739417936865,48.300526479999995
-121.13739359857573,42.86736122923752,18.99934444
-121.13729571816555,42.867362247933144,20.0459324
-121.13751542977835,42.86733295068508,61.49606496
-121.13745425455295,42.867333587448336,61.83071064
-121.13736843615582,42.86732547717241,56.59449
-121.13729485282443,42.86731723949844,31.39107712
-121.13768602789185,42.86729516081954,63.339897040000004
-121.13757591255882,42.86729630714072,21.43372772
-121.13785714524784,42.867284375746365,60.948164680000005
-121.13753903434166,42.86728768753614,25.05577508
-121.13726986354708,42.86729048909656,29.698163679999997
-121.13747768606747,42.8672793226255,20.44619488
-121.13739204082862,42.86728021405497,64.3208682
-121.13757539322665,42.86726930207975,20.73162796
-121.13724487429234,42.8672637386884,25.46916092
-121.13939789219475,42.867223304764586,60.04921452
-121.13779510435573,42.8672400042669,57.12598608
-121.13753816881649,42.86724267910019,24.67519764
-121.13723229314427,42.86724586263797,25.423229159999998
-121.1393487787411,42.86721481333629,67.39501528000001
-121.1394709555052,42.867204535969826,47.29987028
-121.13790487325834,42.867220854351,79.9212624
-121.13769687789494,42.86722301994781,7.946194480000001
-121.13762346776306,42.86722378418157,14.42585348
-121.13960536723863,42.867194130877294,42.87073628
-121.13955642719127,42.867194641226575,64.98031704
-121.13929949192874,42.86719732020087,63.26115688
-121.13754988452264,42.86721554667847,26.925853880000002
-121.13740306427171,42.86721707489918,62.103020359999995
-121.1373296541434,42.86721783893562,54.58333508
-121.13915249841786,42.867189849086955,36.948820080000004
-121.1388219797792,42.867184290464735,80.50525192
-121.1375862433599,42.867197161217206,19.63254656
-121.13745165817289,42.867198562138604,55.23950308
-121.13720695781647,42.867201108843666,56.66666847999999
-121.13703566755446,42.86720289121128,58.99934572
-121.13693778740013,42.86720390958645,48.858269279999995
-121.1396537870051,42.867166615452405,60.7939652
-121.13774512543648,42.86718650368174,23.894357720000002
-121.1388828082168,42.86716564956416,66.2401596
-121.13765930721286,42.86717839363313,73.24803384
-121.13955556013256,42.86714963280276,28.94685132
-121.13944544510669,42.86715078100769,76.54855888
-121.13865016979274,42.86715907030499,52.165356
-121.13735325880295,42.86717257582195,26.25000084
-121.13712079356296,42.86717499499556,73.68438556
-121.13970220672655,42.86713910000536,42.30315096
-121.13907822165048,42.86714560587063,53.28412244
-121.13901704663563,42.86714624350879,55.515093639999996
-121.13751214085545,42.867161918624895,46.36155004
-121.13742649578707,42.867162810081446,58.03149791999999
-121.13725520564256,42.867164592793195,62.477036119999994
-121.13685145026109,42.86716879383715,22.50000072
-121.13917592831767,42.867135583892704,47.345802039999995
-121.13855194322086,42.867142086753184,55.08202276
-121.13818489309985,42.867145910300955,47.227691799999995
-121.13769549286468,42.86715100644703,69.45538280000001
-121.13763431782937,42.867151643311175,77.14239092000001
-121.13688798229241,42.867159410296594,37.03084108
-121.13856400496336,42.867132957593704,55.08202276
-121.13822142490548,42.867136526314496,58.251314199999996
-121.13811130987811,42.86713767317523,81.40092124
-121.13785437479761,42.867140348752265,63.3858288
